CostCenter, Parent, Alias: Default, Alias: KOREAN ALIAS, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Enable for Dynamic Children, Number of Possible Dynamic Children, Access Granted to Member Creator, Allow Upper Level Entity Input, Process Management Enabled, UUID, Data Id, Old Name, Old Unique Name, Plan Type (FinPlan), Aggregation (FinPlan), Data Storage (FinPlan), Formula (FinPlan), Solve Order (FinPlan), Formula Description (FinPlan), Plan Type (FinRPT), Aggregation (FinRPT), Data Storage (FinRPT), Formula (FinRPT), Solve Order (FinRPT), Formula Description (FinRPT), Operation
205311SMH,SG&A,S&A 5311-S & M - Hotel - On Property,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,99f9aaad-070a-47e2-9ec4-e9189443d6f5,1072108877203798,205311SMH,[SG&A].[205311SMH],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205312SMH,SG&A,S&A 5312-S & M - Hotel - Off Property,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,b9f4c437-1160-439c-b22a-22404092ad6f,1968910026228507,205312SMH,[SG&A].[205312SMH],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205313SMH,SG&A,S&A 5313-S & M - Hotel - Home Office,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,02e996d1-f20e-4bc7-ad0e-91210b9a7c11,879477588706297,205313SMH,[SG&A].[205313SMH],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205321SMF,SG&A,S&A 5321-S & M - F & B - On Property,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,5f438961-ff11-4b39-be44-082de2cbb006,1638590039279366,205321SMF,[SG&A].[205321SMF],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205322SMF,SG&A,S&A 5322-S & M - F & B - Off Property,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,a0683389-e2c6-42e1-9f2f-7097f1a570cd,1946322319132782,205322SMF,[SG&A].[205322SMF],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205323SMF,SG&A,S&A 5323-S & M - F & B - Home Office,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,1fa41257-b840-4d25-962f-068ed1d20973,3899901827499373,205323SMF,[SG&A].[205323SMF],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205411PMH,SG&A,S&A 5411-PO & M - Hotel - On Property,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,e536416e-2514-4cfb-8f9a-79ef0ccb7378,1656646977602553,205411PMH,[SG&A].[205411PMH],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205412PMH,SG&A,S&A 5412-PO & M - Hotel - Off Property,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,2b99cc7c-d6c4-40ad-9ffe-8e25eb7a0b25,2033975494919181,205412PMH,[SG&A].[205412PMH],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205413PMH,SG&A,S&A 5413-PO & M - Hotel - Home Office,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,844f27ee-611e-4dbe-b03a-7e2cda5e873a,2775825400022450,205413PMH,[SG&A].[205413PMH],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
205421PMF,SG&A,S&A 5421-PO & M - F & B - On Property,,false,shared,false,,<none>,<none>,,,unspecified,none,,,,false,true,850cd61f-f358-4afb-9205-d5a0834422a5,3013158456347003,205421PMF,[SG&A].[205421PMF],true,+,shared,<none>,0,,true,+,shared,<none>,0,,
