CostCenter, Parent, Alias: Default, Alias: KOREAN ALIAS, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Enable for Dynamic Children, Number of Possible Dynamic Children, Access Granted to Member Creator, Allow Upper Level Entity Input, Process Management Enabled, UUID, Data Id, Old Name, Old Unique Name, Plan Type (FinPlan), Aggregation (FinPlan), Data Storage (FinPlan), Formula (FinPlan), Solve Order (FinPlan), Formula Description (FinPlan), Plan Type (FinRPT), Aggregation (FinRPT), Data Storage (FinRPT), Formula (FinRPT), Solve Order (FinRPT), Formula Description (FinRPT), Operation
Total CostCenter,CostCenter,Total CostCenter,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,38068daf-70eb-4ec2-bad5-30f508ef82c8,4339762696372591,Total CostCenter,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC9999,Total CostCenter,9999-All Departments,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,86267971-4d16-4b50-b40d-425caa7281d4,1176869783553559,CC9999,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC0000,CC9999,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,15090140-1e23-48f3-b41b-d3289b47eb63,4138855579011168,CC0000,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC1000,CC9999,1000-Summary - Hotel Departments,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,3f214776-e378-4b28-a2ac-d734df9b5e1d,3544715642946567,CC1000,[CC9999].[CC1000],true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC1100,CC1000,1100-Rooms Departments,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,86c7dcdc-d8c7-46d2-a0ad-2c28888684c5,1271235334194424,CC1100,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC1110,CC1100,1110-Club Level,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,576faa7f-6b8c-4676-b061-6515e23d6da0,1282188792843018,CC1110,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
101110HCL,CC1100,COS 1110-Club Level,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,1ab512cf-cefa-46c2-bb2f-e7fb99aadf2b,942988270650241,101110HCL,[CC1100].[101110HCL],true,+,store,<none>,0,,true,+,store,<none>,0,,
CC1120,CC1100,1120-Rooms,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,3f102a26-7878-4f36-93c4-6e01c442edf3,348035842525778,CC1120,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC1121,CC1120,1121-Rooms - On Property,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,67edcbce-0807-4b17-b49a-c0674cee836b,2430875931133656,CC1121,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC1122,CC1120,1122-Rooms - Off Property,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,55936d03-8891-4e7f-a92f-250b4ddcc5c8,616086220850635,CC1122,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC1123,CC1120,1123-Rooms - Home Office,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,c305db28-9b8b-4fb6-be3b-5d3625e385f9,3043782906105238,CC1123,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
101121HRM,CC1120,COS 1121-Rooms - On Property,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,fdafff83-3012-4945-9637-3f261c58db27,1821928967784451,101121HRM,[CC1120].[101121HRM],true,+,store,<none>,0,,true,+,store,<none>,0,,
101122HRM,CC1120,COS 1122-Rooms - Off Property,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,87b5b7d5-de6b-4b30-b623-70255d9d97dd,4151337804648044,101122HRM,[CC1120].[101122HRM],true,+,store,<none>,0,,true,+,store,<none>,0,,
101123HRM,CC1120,COS 1123-Rooms - Home Office,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,bd005ad0-0fd3-4a0e-bb37-f06d86d9a8df,2552141667649502,101123HRM,[CC1120].[101123HRM],true,+,store,<none>,0,,true,+,store,<none>,0,,
CC1130,CC1100,1130-Reservations,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,8f79c293-3c02-4432-96d6-a4d2cb9cb33c,4072290164165473,CC1130,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC1131,CC1130,1131-Reservations - On Property,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,46585a02-08c7-4bf0-b227-bc411bc6c967,803487450481610,CC1131,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC1132,CC1130,1132-Reservations - Off Property,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,c3c9cda0-98ae-4bb7-90cb-799c14a24b2b,2543832353229352,CC1132,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC1133,CC1130,1133-Reservations - Home Office,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,d716f515-2925-476b-846c-3a190327dbe4,4084715861000958,CC1133,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
101131HRS,CC1130,COS 1131-Reservations - On Property,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,cef3cc4a-54b5-4256-b3c9-585919cb6334,1487445997801100,101131HRS,[CC1130].[101131HRS],true,+,store,<none>,0,,true,+,store,<none>,0,,
101132HRS,CC1130,COS 1132-Reservations - Off Property,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,c877abf0-afa0-4ab5-b0c6-06a00634920e,4462620356722957,101132HRS,[CC1130].[101132HRS],true,+,store,<none>,0,,true,+,store,<none>,0,,
101133HRS,CC1130,COS 1133-Reservations - Home Office,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,5d6bbdc4-d7ea-4060-8431-e53c771cec38,1316993498366485,101133HRS,[CC1130].[101133HRS],true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2000,CC9999,2000-Summary - F & B Departments,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,83c8d626-1b36-4536-92f2-1c4888878876,1771920823042307,CC2000,[CC9999].[CC2000],true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC2100,CC2000,2100-F & B Venues,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,4b139293-29b3-4ab7-9c0c-59f86a218e5b,2765129001421905,CC2100,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC2110,CC2100,2110-F & B Venues - Outlets,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,b6018c98-89ba-42bb-917d-6f429a73f216,3471985788800888,CC2110,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC2111,CC2110,2111-Outlet Venue 1,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,2a964a25-5d29-4b2f-bc5c-aa6d17c4fe9a,3559189522040394,CC2111,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2112,CC2110,2112-Outlet Venue 2,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,4e9c88a9-b52f-4598-ba43-a476bdc62692,1471486447275978,CC2112,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2113,CC2110,2113-Outlet Venue 3,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,48308c6c-4b9a-456a-b743-5af19135adf7,2572994160184783,CC2113,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2114,CC2110,2114-Outlet Venue 4,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,28dcf0fb-6dd7-44b6-9e35-fd09db07f2f0,4455530484158067,CC2114,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2115,CC2110,2115-Outlet Venue 5,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,45c5b97c-ff30-42d8-a546-19eeec7e672f,4059069332277371,CC2115,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2116,CC2110,2116-Outlet Venue 6,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,8d2f8677-30d9-41ea-9e28-eeaf784ea1d8,1414002053435195,CC2116,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
102111FOL,CC2110,COS 2111-Outlet Venue 1,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,383fd0b7-9afb-4d73-a87f-bda4adce2651,4329027431779128,102111FOL,[CC2110].[102111FOL],true,+,store,<none>,0,,true,+,store,<none>,0,,
102112FOL,CC2110,COS 2112-Outlet Venue 2,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,21b20629-e4ef-4da5-8c72-769f061598ae,29027368783525,102112FOL,[CC2110].[102112FOL],true,+,store,<none>,0,,true,+,store,<none>,0,,
102113FOL,CC2110,COS 2113-Outlet Venue 3,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,844bdded-d596-4bb6-8168-c533ff8e923d,2819222362998759,102113FOL,[CC2110].[102113FOL],true,+,store,<none>,0,,true,+,store,<none>,0,,
102114FOL,CC2110,COS 2114-Outlet Venue 4,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,ed4d5f54-5828-4214-b7b4-071396ab3793,2504278631533263,102114FOL,[CC2110].[102114FOL],true,+,store,<none>,0,,true,+,store,<none>,0,,
102115FOL,CC2110,COS 2115-Outlet Venue 5,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,3092acfc-cbca-4d9b-bf99-975bf4a3aa19,1302759640876877,102115FOL,[CC2110].[102115FOL],true,+,store,<none>,0,,true,+,store,<none>,0,,
102116FOL,CC2110,COS 2116-Outlet Venue 6,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,08f21455-e699-42cc-9e94-794bce257446,2772828648521785,102116FOL,[CC2110].[102116FOL],true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2120,CC2100,2120-F & B Venues - Bars,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,9e871e68-4476-4a51-b5a9-c02dfdbae846,3840814551613885,CC2120,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC2121,CC2120,2121-Bar Venue 1,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,b051154e-982d-40bb-bca4-cc0b202ee488,2219531063150136,CC2121,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2122,CC2120,2122-Bar Venue 2,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,abc0f074-233f-4355-9772-b0404975476f,2864016427011255,CC2122,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2123,CC2120,2123-Bar Venue 3,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,07799fc5-b2df-454b-96eb-c3aa44a802bb,1141869180505548,CC2123,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2124,CC2120,2124-Bar Venue 4,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,d489a0a4-c5a3-424d-b719-d590e34d3654,2874594745732167,CC2124,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2125,CC2120,2125-Bar Venue 5,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,a4b703e1-8ad0-4597-b13c-77f2b84318bb,2046852894575418,CC2125,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2126,CC2120,2126-Bar Venue 6,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,d04a4506-9b30-403f-93e8-924ec94adf2c,514443561880317,CC2126,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
102121FNB,CC2120,COS 2121-Bar Venue 1,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,2e3fddff-22f0-4a78-b31b-97ae4f365dcb,4453827208626456,102121FNB,[CC2120].[102121FNB],true,+,store,<none>,0,,true,+,store,<none>,0,,
102122FBV,CC2120,COS 2122-Bar Venue 2,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,aaaaadfb-6874-4d9c-b9a1-fb9e61ace781,2043743910841279,102122FBV,[CC2120].[102122FBV],true,+,store,<none>,0,,true,+,store,<none>,0,,
102123FBV,CC2120,COS 2123-Bar Venue 3,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,6c8dd832-0038-4b11-bd2c-27a3b31c4779,26834096375072,102123FBV,[CC2120].[102123FBV],true,+,store,<none>,0,,true,+,store,<none>,0,,
102124FBV,CC2120,COS 2124-Bar Venue 4,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,618a3ab7-4c05-4707-bf1b-ebaea4b64c75,1462742550006025,102124FBV,[CC2120].[102124FBV],true,+,store,<none>,0,,true,+,store,<none>,0,,
102125FBV,CC2120,COS 2125-Bar Venue 5,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,831090e4-9481-483a-9cf1-922828ed89e2,3968294626084117,102125FBV,[CC2120].[102125FBV],true,+,store,<none>,0,,true,+,store,<none>,0,,
102126FBV,CC2120,COS 2126-Bar Venue 6,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,5fd75340-a8f8-4494-9d11-913bb51f0af1,2384830995972438,102126FBV,[CC2120].[102126FBV],true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2200,CC2000,2200-In-Room Dining,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,28fe6cb0-a1d5-4ca7-a4e8-40e768efea00,1173904378839835,CC2200,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC2210,CC2200,CC2210 - In Room Dining,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,68e4f4f8-3779-4e52-b8c8-90c0f81d439e,1390159962000298,CC2210,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
102210IRD,CC2200,COS In-Room Dining,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,f5c7c188-9998-4394-8d8c-2f41773eb8c8,2668868179414256,102210IRD,[CC2200].[102210IRD],true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2300,CC2000,2300-Banquets Catering & Conference Services,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,490cfed9-8d71-48c0-a8a2-bb9145c8d358,4324962513273759,CC2300,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC2301,CC2300,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,de074df9-140c-4d38-983e-494a889b9934,3109217808433199,CC2301,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2302,CC2300,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,a3d47fa4-73c9-4936-8882-e6bac68fbe33,2632369171743320,CC2302,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2303,CC2300,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,7f375e10-fe63-4e69-bd8e-005631447959,4168963903147136,CC2303,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2310,CC2300,2310-Banquets Catering & CS,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,d4ccd643-5265-4cfb-adef-ba621cf1d54b,191012489875082,CC2310,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2320,CC2300,2320-Banquet Sales (Group),,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,616b94bd-be8e-4edd-9ddf-44757573059e,1444379239663263,CC2320,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2330,CC2300,2330-Catering Sales (Local),,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,74c20abf-2484-4b30-a529-4459f5a0e706,4053326947041650,CC2330,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
102301BCS,CC2300,COS Banquets Catering & CS,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,579563dc-c2b3-4ead-940f-90dadbf1ea18,2826554405177954,102301BCS,[CC2300].[102301BCS],true,+,store,<none>,0,,true,+,store,<none>,0,,
102302BSG,CC2300,COS Banquet Sales (Group),,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,60039bd3-0557-47d7-9c38-591ba4371148,3784200422771091,102302BSG,[CC2300].[102302BSG],true,+,store,<none>,0,,true,+,store,<none>,0,,
102303CSL,CC2300,COS Catering Sales (Local),,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,6375ea82-f55c-443a-b018-5ddd22786258,4122853875401312,102303CSL,[CC2300].[102303CSL],true,+,store,<none>,0,,true,+,store,<none>,0,,
102310FBC,CC2300,COS 2310-Banquets Catering & CS,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,dd6da6f3-2318-4a91-a928-8be52acb37e3,2362345779252706,102310FBC,[CC2300].[102310FBC],true,+,store,<none>,0,,true,+,store,<none>,0,,
102320FBS,CC2300,COS 2320-Banquet Sales (Group),,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,2d387231-fad2-49cc-9dc0-436dfca2b335,3865464602051814,102320FBS,[CC2300].[102320FBS],true,+,store,<none>,0,,true,+,store,<none>,0,,
102330FCS,CC2300,COS 2330-Catering Sales (Local),,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,8211ad3c-1af5-494d-ae6a-08a662f0978f,1378615400218852,102330FCS,[CC2300].[102330FCS],true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2400,CC2000,2400-Mini Bar,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,dc4f8b24-0187-45f4-8243-61486ffdf6e9,1996374249718045,CC2400,[CC2000].[CC2400],true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC2410,CC2400,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,dbc53557-d827-49bf-aa57-f0c8c3fcea6a,461150143005336,CC2410,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
102410MNB,CC2400,COS Mini Bar,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,3a6acd5e-8d43-4fbd-bd70-1092717ab435,1222918366644111,102410MNB,[CC2400].[102410MNB],true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2500,CC2000,2500-Other F & B Departments,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,fbc9e28a-7e33-4031-a75f-fc848cd169d3,3930514135466012,CC2500,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC2510,CC2500,2510-Bodega,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,d0193019-ff25-4d6a-9420-a2b8711dacc1,1650768819604779,CC2510,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC2520,CC2500,2520-Grab And Go,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,3b36305e-6db7-4a5f-b1fa-adda6e2fa92f,865028023272760,CC2520,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
102510FBD,CC2500,COS 2510-Bodega,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,86602f1d-769d-4cc7-b697-06c9df456e6a,2231089342466111,102510FBD,[CC2500].[102510FBD],true,+,store,<none>,0,,true,+,store,<none>,0,,
102520FGG,CC2500,COS 2520-Grab And Go,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,db3d3e89-1617-4b56-a9ef-831a217e68d5,3813918346200709,102520FGG,[CC2500].[102520FGG],true,+,store,<none>,0,,true,+,store,<none>,0,,
CC3000,CC9999,3000-Summary - Other Operated Departments,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,16ae8667-9d04-423b-a6f7-64a536fb5f09,2708604293432023,CC3000,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC3100,CC3000,3100-Other Operated Departments - Hotel,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,e0bc8249-bdff-40a7-8f77-919a6bfecac7,1662492593639392,CC3100,[CC3000].[CC3100],true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC3110,CC3100,3110-Golf Course & Pro Shop,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,62b1390c-1e09-451d-a72b-1a7c64d50a66,1977704714814355,CC3110,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC3120,CC3100,3120-Health Club & Spa,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,25e12cf5-0de9-4d9e-afb8-7d5104c946ee,913792577719724,CC3120,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC3130,CC3100,3130-Parking,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,1f16a174-d6d2-40c3-957f-d3f46de5974b,3965277812510092,CC3130,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC3140,CC3100,3140-Transportation,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,bc325d79-ae55-4322-9e12-18669e44bd05,2224178068997675,CC3140,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC3150,CC3100,3150-Laundry,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,ae03adc5-e2fa-4260-9253-f8ffc9911b8b,30637276481798,CC3150,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC3160,CC3100,3160-Other Recreation,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,52db83ae-9246-434e-801d-afb78173d90c,1181628919333666,CC3160,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC3170,CC3100,3170-Business Center,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,ce11e3d1-05e9-446d-90da-936b95320dc9,522660198435858,CC3170,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC3180,CC3100,3180-Retail Shop - Hotel,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,1e82b46b-b8e8-4051-aed5-5e755385ee70,2142712038311255,CC3180,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC3190,CC3100,3190-Minor Operated Departments,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,6c8e7411-ed9f-45b7-b619-2cf0018a172e,137359393571390,CC3190,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
103110OGF,CC3100,COS 3110-Golf Course & Pro Shop,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,f44b9d4a-e8e8-4e5b-a14c-60b772ebc21c,976235265018487,103110OGF,[CC3100].[103110OGF],true,+,store,<none>,0,,true,+,store,<none>,0,,
103120OHS,CC3100,COS 3120-Health Club & Spa,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,f94e617c-b64a-42a7-9d87-879dbd458351,3476059835747775,103120OHS,[CC3100].[103120OHS],true,+,store,<none>,0,,true,+,store,<none>,0,,
103130OPK,CC3100,COS 3130-Parking,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,955503f7-9862-49e0-93e5-b9e8f921047a,4472892979562025,103130OPK,[CC3100].[103130OPK],true,+,store,<none>,0,,true,+,store,<none>,0,,
103140OTR,CC3100,COS 3140-Transportation,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,db19d5ab-c70e-4321-aed0-db2d4bf7741a,4352250129631215,103140OTR,[CC3100].[103140OTR],true,+,store,<none>,0,,true,+,store,<none>,0,,
103150OLD,CC3100,COS 3150-Laundry,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,c516145e-a4d6-4ce9-b842-9951b781c514,500390722486613,103150OLD,[CC3100].[103150OLD],true,+,store,<none>,0,,true,+,store,<none>,0,,
103160OOR,CC3100,COS 3160-Other Recreation,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,36352a53-d16e-4ce9-8ffd-340f78a85b55,1387274735798239,103160OOR,[CC3100].[103160OOR],true,+,store,<none>,0,,true,+,store,<none>,0,,
103170OBC,CC3100,COS 3170-Business Center,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,062a3086-2e1e-454c-83cc-18e11a67cdc1,1537608500858029,103170OBC,[CC3100].[103170OBC],true,+,store,<none>,0,,true,+,store,<none>,0,,
103180ORH,CC3100,COS 3180-Retail Shop - Hotel,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,5616ce14-eeaa-4528-9d1b-401859858a93,2083743226744431,103180ORH,[CC3100].[103180ORH],true,+,store,<none>,0,,true,+,store,<none>,0,,
103190OOD,CC3100,COS 3190-Minor Operated Departments,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,cde10782-aa2a-4d3c-938d-27e3dff78107,955886112163994,103190OOD,[CC3100].[103190OOD],true,+,store,<none>,0,,true,+,store,<none>,0,,
CC3200,CC3000,3200-Other Operated Departments - F & B,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,5521d99a-efbb-4a0b-8b5e-6aef03fc3d2b,3549312848644500,CC3200,[CC3000].[CC3200],true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC3210,CC3200,3210-Retail Shop - Food & Beverage,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,e6f2ca29-9e58-494e-9220-15af0c7bd5e8,338933761919613,CC3210,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
CC3280,CC3200,3280-Retail Shop - Food & Beverage,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,fc9343a2-81ad-4b58-a275-b640f2e48760,2424002664482734,CC3280,<none>,true,+,store,<none>,0,,true,+,store,<none>,0,,
103210ORF,CC3200,COS 3210-Retail Shop - Food & Beverage,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,18b73779-c1e5-4515-8c58-e71eae1c7b7e,1977192062275259,103210ORF,[CC3200].[103210ORF],true,+,store,<none>,0,,true,+,store,<none>,0,,
CC4000,CC9999,4000-Summary - Miscellaneous Income,,false,dynamic calc,false,,<none>,<none>,,,unspecified,none,,,,false,true,87c2b9a8-e7f1-46c6-958c-ab7d3a6c79b8,477840506702442,CC4000,<none>,true,+,dynamic calc,<none>,0,,true,+,dynamic calc,<none>,0,,
CC4010,CC4000,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,e99e9145-1394-428a-8028-633ebda0404a,1994535636782538,CC4010,[CC4000].[CC4010],true,+,store,<none>,0,,true,+,store,<none>,0,,
CC4020,CC4000,,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,f2ff6abd-75d3-462a-8722-35c8e43161bf,469644677628890,CC4020,[CC4000].[CC4020],true,+,store,<none>,0,,true,+,store,<none>,0,,
CC4100,CC4000,4100-Miscellaneous Income - Hotel,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,536f18f2-33e9-4ebc-a472-5ea308ee0d61,2276886888401997,CC4100,[CC4000].[CC4100],true,+,store,<none>,0,,true,+,store,<none>,0,,
CC4200,CC4000,4200-Miscellaneous Income - F &B,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,ff105eeb-7379-45d9-90c1-027003f1bcf3,2625773672743339,CC4200,[CC4000].[CC4200],true,+,store,<none>,0,,true,+,store,<none>,0,,
104010MIH,CC4000,COS Miscellaneous Income - Hotel,,false,store,false,,<none>,<none>,,,unspecified,none,,,,false,true,b1eb04d0-5b30-4328-b38d-207d1940fdc9,3563778497855547,104010MIH,[CC4000].[104010MIH],true,+,store,<none>,0,,true,+,store,<none>,0,,
